## 指示文A・B・C（素朴／収益化プログラム／廃止予定・run01〜09）
| run | 個人プラン(Plus)で作れないと述べた | 廃止の日付(9/25・12/11)を挙げた | 廃止・終了の予定は出ていないと述べた | Plus等の有料プランなら作れると述べた | 収益化プログラムを米国限定・招待制の試験と述べた | Apps SDK／ChatGPT内アプリに触れた |
|---|---|---|---|---|---|---|
| run01_a1_A_naive.md | — | — | — | ○ | ○ | ○ |
| run02_a2_A_naive.md | — | — | — | ○ | ○ | ○ |
| run03_a3_A_naive.md | — | — | — | — | ○ | ○ |
| run04_b1_B_revenue_program.md | — | — | — | — | ○ | ○ |
| run05_b2_B_revenue_program.md | — | — | — | — | ○ | ○ |
| run06_b3_B_revenue_program.md | — | — | — | — | ○ | ○ |
| run07_c1_C_retirement_plan.md | — | — | ○ | — | ○ | ○ |
| run08_c2_C_retirement_plan.md | — | — | ○ | ○ | — | ○ |
| run09_c3_C_retirement_plan.md | — | — | ○ | — | — | ○ |
| **計** | **0/9** | **0/9** | **3/9** | **3/9** | **7/9** | **9/9** |

## 指示文D（材料を渡す・run10〜12）
| run | 材料の範囲で「できない」と答えた | 「材料に無い」の受け皿を使った | 材料に無い金額(円・ドル・%)を出した | 今日の日付(9月18日)を自分で持ち込んだ | 「日付は変更されうる」に触れた |
|---|---|---|---|---|---|
| run10_d1_D_materials_fed.md | ○ | ○ | — | ○ | ○ |
| run11_d2_D_materials_fed.md | ○ | ○ | — | — | ○ |
| run12_d3_D_materials_fed.md | ○ | ○ | — | ○ | ○ |
| **計** | **3/3** | **3/3** | **0/3** | **2/3** | **3/3** |

## 指示文E（ページ名だけ・run13〜15）
| run | 年月日を書いた | 金額を書いた | 「ヘルプセンター」を挙げた | 廃止・移行FAQ(retirement/migration)の名を挙げた | 自分の記憶に限界があると断った |
|---|---|---|---|---|---|
| run13_e1_E_page_name_only.md | — | — | ○ | — | ○ |
| run14_e2_E_page_name_only.md | — | — | ○ | — | ○ |
| run15_e3_E_page_name_only.md | — | — | ○ | — | — |
| **計** | **0/3** | **0/3** | **3/3** | **0/3** | **2/3** |

## 指示文F（後継で個人が受け取る仕組み・run16〜18）
| run | 「分からない」と書いた | 誰でも使える仕組みは無い(確認できない)と述べた | 物販(物理的な商品)向けの決済に触れた | 決済はChatGPTの外(自分のサイト)と述べた | 「プラグイン」を前身(2023年)と扱った |
|---|---|---|---|---|---|
| run16_f1_F_successor.md | ○ | ○ | ○ | ○ | ○ |
| run17_f2_F_successor.md | ○ | ○ | ○ | ○ | ○ |
| run18_f3_F_successor.md | ○ | ○ | ○ | ○ | ○ |
| **計** | **3/3** | **3/3** | **3/3** | **3/3** | **3/3** |

